"y","x","w"
2.7071719,-35.284988,0
0,-40.461236,0
3.2393911,-33.020811,0
0,-41.043304,0
1.9487262,-37.895498,0
2.7590773,-28.334745,0
5.0246205,-36.872148,0
1.8497965,-29.526996,0
0,-34.34279,0
0,-41.294082,0
0,-32.616563,0
2.4938798,-39.540367,0
3.1676645,-41.467969,0
0,-42.044338,0
2.7242918,-40.312734,0
0,-36.582942,0
2.1270854,-42.329545,0
3.4646735,-43.698393,0
1.0237021,-39.711038,0
2.1405714,-40.023077,0
0.80844009,-38.400251,0
0,-43.743094,0
1.496991,-42.817417,0
2.2683246,-40.622447,0
1.7871743,-36.841661,0
2.283783,-40.906538,0
6.7301545,-41.739019,0
4.9073839,-30.828464,0
9.1983624,-43.056913,0
1.5053797,-43.820057,0
2.2176883,-37.792106,0
0,-29.288785,0
0,-11.342294,0
0,-28.502395,0
0,-30.221628,0
0,-35.789648,0
0,-38.900316,0
0,-6.211572,0
0,2.668326,1
0,-21.38347,0
0,-24.592008,0
0,-26.115034,0
0.86941147,-42.833353,0
0,-40.079999,0
9.4015884,-43.038904,0
0,-27.286996,0
0,-29.465137,0
2.5717802,-42.473981,0
0,-34.296632,0
0,-43.785889,0
0,-38.815124,0
18.099548,-34.745401,0
0,-16.06484,0
0,-41.375434,0
0,-37.888792,0
0,-42.882686,0
0,-34.27659,0
0.93045759,-38.161468,0
0,-18.470479,0
0,-40.974817,0
0,-42.685863,0
3.155968,-39.630628,0
0,-42.450828,0
12.828736,-32.076189,0
9.5156536,-32.957073,0
0,-36.575881,0
0,-29.292284,0
0,-33.861156,0
0,-43.178443,0
0,-42.011541,0
0,-40.96659,0
0,-29.814659,0
0,-38.028453,0
10.006003,-20.471372,0
0,-36.41316,0
0,-11.227293,0
0,-29.730945,0
0,-39.803266,0
0,-40.338066,0
0,-38.072217,0
0,-39.267282,0
1.9761088,-34.352264,0
0,-33.457557,0
3.3964698,-34.918457,0
1.2753638,-31.55845,0
2.3946464,-37.021919,0
2.9160471,-24.861158,0
0,-7.943601,0
1.1791062,-28.449241,0
0,-17.189119,0
1.008985,-41.552736,0
1.8332601,-35.143363,0
0,-1.961046,0
0,-33.604236,0
0,-14.286119,0
0,-23.359315,0
7.8019857,-28.249542,0
0,-13.164285,0
2.3400846,-36.921728,0
6.9141951,-15.754564,0
0,-11.050252,0
2.0446594,-32.948196,0
2.982152,-31.666059,0
15.810277,-12.959615,0
0,-0.304097999999996,0
2.4948232,0.961482000000004,1
0,-4.715642,0
0,-20.469469,0
0,-24.494688,0
11.096316,-0.167676,0
5.2026429,-15.237691,0
0,-23.574258,0
4.0515356,-15.229955,0
6.726759,-23.877691,0
1.35168,-31.242969,0
0,2.943366,1
0,-28.627784,0
0,-6.683813,0
9.9443121,0.787528000000002,1
0,-20.103193,0
1.5247157,-20.792432,0
4.1815462,-28.742187,0
1.8137134,-27.468576,0
0,-7.111001,0
0,-10.329053,0
14.165309,-0.293615000000003,0
1.1873382,-27.097181,0
0,-15.161809,0
2.8313372,-30.920501,0
0,-34.238636,0
6.6577897,-21.779764,0
2.9816628,-36.910055,0
0,-27.798337,0
1.9506269,-36.179471,0
0,-19.586782,0
2.0090983,-31.540893,0
4.4461241,-19.517751,0
2.0707793,-34.656459,0
1.6049045,-28.040538,0
0,-17.456865,0
0,-22.060884,0
0,-26.873777,0
0,-28.682973,0
2.1684213,-35.638799,0
1.3857421,-25.777185,0
0,-6.91168,0
0,-7.437265,0
0,-15.586099,0
0,-16.923055,0
2.6530478,-29.282632,0
0,1.032412,1
6.3893681,-7.940439,0
15.989766,-0.967908000000001,0
6.2996097,2.466712,1
16.363934,9.063876,1
10.79797,-1.047723,0
0,14.856959,1
3.6863642,-18.731649,0
0,-15.647798,0
0,-18.673147,0
0,-18.839982,0
0,-8.675424,0
0,-3.802186,0
1.4724613,-27.339904,0
0,-10.723787,0
0,-7.318567,0
0,5.71918,1
0,0.127088999999998,1
3.3447053,-5.940454,0
0,10.831889,1
0,-1.043104,0
0,14.287951,1
7.617887,-24.798795,0
14.874312,2.246321,1
5.8032694,-20.327604,0
0,-33.600027,0
0,-11.62026,0
2.2839916,-28.115821,0
20.07226,-36.824644,0
4.9771051,-22.400239,0
0,-19.208097,0
6.0795202,-24.180356,0
0,5.70410399999999,1
1.3540045,-40.643604,0
13.984058,4.51713,1
2.7471128,-42.244752,0
3.84571,-4.060388,0
2.9591053,-11.764577,0
0,-12.64406,0
0,-4.923559,0
0,-14.354257,0
0,5.410655,1
0,-3.328908,0
0,-13.880308,0
0,2.932704,1
4.0454712,-6.093748,0
6.1508179,-8.292669,0
9.4446545,6.224505,1
4.9097104,-22.856977,0
3.7639265,-21.9456,0
7.2817302,12.329005,1
0,1.173274,1
11.319901,-15.347177,0
0,-12.434896,0
15.175275,-4.551908,0
0,-2.909135,0
0,-11.530965,0
0,-15.351778,0
0,-29.756769,0
0,-17.539896,0
0,-11.174337,0
2.080317,-30.081615,0
0,-0.788812,0
0,2.374136,1
4.100966,-27.66292,0
0,-16.365995,0
0,-1.691461,0
0,-1.039964,0
2.0009072,-27.481477,0
0,-18.566698,0
0,-21.597917,0
10.185374,13.252528,1
6.0060062,-19.576665,0
0,-4.203916,0
5.9014459,-11.715875,0
0,-4.34593,0
3.1627555,-12.980611,0
2.6610608,-32.385526,0
0,7.670176,1
9.0077915,-17.87206,0
0,7.215128,1
0,-6.414258,0
10.986596,6.84277599999999,1
0,-0.870378000000002,0
0,-9.592382,0
6.4275613,-9.100351,0
0,-16.229425,0
0,1.714381,1
0,-7.093606,0
8.8691797,1.567965,1
3.5679879,-8.002798,0
15.820282,7.68678500000001,1
0,3.153426,1
1.5761187,-18.287385,0
0,-8.694261,0
5.9217148,-6.69742,0
0,7.13917799999999,1
0,5.172183,1
0,-4.301492,0
18.971731,10.516268,1
0,-2.89433,0
0,3.771082,1
4.4497843,-3.936811,0
0,-8.61448,0
0,4.480067,1
0,-5.083902,0
0,-14.271696,0
2.6382439,-28.853267,0
0,-19.027299,0
9.1861105,-13.753091,0
0,-0.440621999999998,0
12.012974,-23.334466,0
5.8847761,-11.521303,0
10.09795,-10.402517,0
9.024456,-4.644319,0
0,-4.704389,0
3.3919001,-19.20495,0
0,-15.350172,0
0,-2.044004,0
0,13.877078,1
0,-9.644105,0
0,6.538683,1
2.0378082,-22.075006,0
0,-19.049551,0
0,11.80752,1
0,1.977171,1
0,3.529002,1
0,-25.121931,0
5.4027772,-19.314348,0
0,9.699603,1
7.1055532,-4.033838,0
0,7.89527399999999,1
0,7.84118900000001,1
0,-2.981519,0
0,5.14361,1
9.457159,2.666625,1
8.5616436,7.592753,1
5.5937796,-11.95519,0
3.2119226,-6.361173,0
0,-7.382913,0
0,-3.392549,0
0,4.461985,1
2.2163122,-18.695596,0
0,1.073248,1
0,-4.676694,0
0,4.378787,1
4.659615,-25.979223,0
1.995092,-28.716316,0
6.697475,-15.104665,0
8.7151031,-22.026712,0
0,9.37955,1
0,2.500941,1
5.1419168,-10.445512,0
0,15.951121,1
0,5.147822,1
0,-14.585557,0
9.6130733,-27.490795,0
0,4.046034,1
0,-6.781187,0
10.182262,-7.807134,0
5.8102374,6.594447,1
2.5463111,-30.031457,0
0,-35.150928,0
3.4810457,-33.787395,0
0.68463606,-43.989888,0
0,-42.815919,0
0,-38.358158,0
0,-37.033187,0
0,-38.1247,0
0,-39.985591,0
0,-37.255466,0
0,-36.059099,0
0,-34.027538,0
0,-39.836698,0
2.5564332,-34.883974,0
0,-41.152311,0
0,-39.76173,0
0,-25.164785,0
0,-40.903573,0
0,-31.686273,0
0,-36.261531,0
0,-36.25654,0
0,-38.188228,0
0,-38.440856,0
0,-32.891487,0
15.553309,-37.625984,0
0,-39.428958,0
0,-35.118747,0
6.0927315,-41.246625,0
0,-27.533142,0
32.404408,-43.72354,0
0,-37.70079,0
0,-40.229946,0
3.5447166,-42.215812,0
0,-36.768224,0
0,-35.63302,0
6.9405885,-33.514156,0
0,-41.625471,0
0,-31.735391,0
2.1099718,-40.273294,0
0,-29.219083,0
0,-37.435873,0
0,-10.56513,0
0,-28.730056,0
0,-17.290838,0
3.0086951,-38.159521,0
0,-31.432355,0
6.2656641,-34.961799,0
0,-32.662755,0
1.6933798,-42.587137,0
3.2081101,-36.012451,0
0,-29.415327,0
0,-31.735361,0
0,-35.004306,0
2.854696,-39.234323,0
0,-36.977254,0
0,-27.787691,0
0,-39.020221,0
0,-37.66477,0
5.7067852,-30.578456,0
0,-27.240808,0
0,-35.27194,0
0,-30.462045,0
8.3187752,-38.866102,0
0,-27.384494,0
5.5763121,-38.911809,0
0,-6.585622,0
7.0274067,-28.589958,0
0,-20.656213,0
0,-33.286451,0
23.607176,-15.318929,0
0,-32.526863,0
0,-39.70157,0
3.5258443,-37.802982,0
5.3520298,-30.738061,0
0,-26.278047,0
6.6724496,-31.464756,0
0,-37.719615,0
0,-34.306594,0
0,-18.39232,0
4.2997346,-43.683515,0
0,-31.812868,0
3.3017466,-40.073375,0
6.0983047,-41.744382,0
4.20327,-43.33522,0
0,-35.180772,0
2.2846177,-42.358268,0
1.7469232,-43.87474,0
5.0220971,-34.782165,0
0,-31.84522,0
0,-37.579236,0
0,-36.628297,0
8.4552298,-24.594171,0
0,-38.14463,0
0,-32.583034,0
3.8207314,-32.555879,0
0,-38.617139,0
0,-36.001926,0
2.4145257,-40.134225,0
0,-30.387125,0
0,-40.854417,0
12.984484,-25.01333,0
0,-11.410348,0
13.415616,-7.409864,0
0,-42.479928,0
0,-34.790111,0
0,-32.761692,0
3.1186774,-38.619415,0
4.8847208,-19.332818,0
2.7575936,-43.597532,0
0,-26.940706,0
0,-27.504838,0
0,-29.528301,0
0,-35.072568,0
0,-41.288972,0
0,-29.705972,0
1.1975905,-39.931776,0
8.8786287,-38.727045,0
0,-36.305189,0
0,-34.520046,0
0,-29.588855,0
0,-30.835659,0
1.6600816,-40.521663,0
0,-30.953302,0
3.3787208,-43.442837,0
1.6326264,-43.2605,0
0,-33.757036,0
0,-41.364469,0
0,-40.874629,0
0,-32.627096,0
11.82942,-37.582782,0
0,-42.465499,0
1.2066656,-40.583944,0
0,-35.660911,0
0,-40.090627,0
0,-17.036302,0
0,-31.548801,0
3.2326889,-41.442382,0
4.2560434,-32.782543,0
3.136271,-43.265523,0
0.9251036,-42.086658,0
3.2515037,-35.715049,0
0,-35.742816,0
3.7504454,-38.200698,0
0,-38.132711,0
0,-25.990358,0
6.0764418,-37.989347,0
3.7221768,-33.401428,0
2.7236452,-43.469627,0
0,-29.396976,0
0,-43.608259,0
0,-33.386795,0
2.0454917,-38.562873,0
3.1960113,-42.140235,0
3.0525963,-38.11362,0
4.3461256,-37.429315,0
4.5635009,-39.421915,0
0,-33.288036,0
0,-33.986816,0
0,-33.098997,0
5.7712283,-40.63932,0
0,-30.34852,0
2.6589379,-34.3929,0
2.8522532,-40.595178,0
0,-29.301784,0
5.1817498,-37.45627,0
1.6088034,-40.93251,0
0,-41.92653,0
0,-40.48668,0
0,-35.628406,0
0,-42.501914,0
0,-33.784175,0
0,-26.804628,0
7.3849788,-28.984096,0
14.486455,-30.606218,0
5.9199619,-29.983276,0
0,-28.13886,0
4.3871193,-31.348272,0
0,-32.085063,0
0,-39.838399,0
3.6971309,-38.733791,0
0,-32.97631,0
0,-34.664129,0
5.0528016,-27.811136,0
5.2521009,-41.792205,0
0,-27.437334,0
0,-32.026475,0
4.9716616,-36.530603,0
0,-32.296655,0
0,-30.481822,0
0,-40.546928,0
0,-32.466176,0
0,-37.604921,0
0,-35.881256,0
2.3892865,-37.726013,0
15.872008,-42.401611,0
12.362468,-34.070135,0
0,-31.962034,0
0,-28.764102,0
0,-41.11947,0
0,-42.726219,0
0,-39.646699,0
0,-43.000917,0
0,-24.952714,0
0,-26.429739,0
7.4404764,-18.693948,0
0,-22.824029,0
0,-25.193803,0
0,-34.94358,0
0,-38.728084,0
0,-36.466115,0
8.7638578,-32.007028,0
0,-33.570917,0
0,-32.77003,0
0,-34.182563,0
0,-32.877637,0
0,-31.639925,0
0,-32.024732,0
0,-42.916049,0
0,-27.916707,0
0,-28.150337,0
0,-26.266248,0
0,-33.753803,0
5.4168248,-23.896017,0
1.9701328,-42.585783,0
0,-28.172443,0
0,-39.859619,0
0,-29.111238,0
0,-20.517168,0
5.3697042,-22.287118,0
8.7873459,-28.325342,0
0,-42.405046,0
0,-34.54685,0
4.5745654,-30.828428,0
0,-36.687824,0
0,-34.982551,0
0,-28.652736,0
0,-31.444404,0
0,-35.198963,0
0,-23.653924,0
0,-37.458837,0
8.5005102,-27.855627,0
0,-37.143924,0
0,-29.798862,0
0,-36.906019,0
10.814318,-19.669958,0
0,-37.132459,0
0,-30.407594,0
0,-32.963233,0
4.7936339,-29.812414,0
0,-41.85547,0
0,-36.752498,0
1.8415189,-39.202138,0
0,-29.941043,0
0,-29.971851,0
0,-28.634414,0
0,-39.086471,0
0,-35.024066,0
0,-28.890071,0
8.4473724,-23.640272,0
0,-30.762847,0
0,-32.763902,0
0,-36.059328,0
0,-42.710138,0
0,-30.72014,0
0,-29.015453,0
0,-25.450796,0
13.403029,-29.848844,0
0,-32.271564,0
2.6498489,-40.311697,0
0,-33.711874,0
0,-26.697431,0
6.9046469,-30.146488,0
9.248127,-21.864431,0
0,-28.841781,0
0,-31.023527,0
1.2592872,-42.340116,0
0,-32.801462,0
0,-15.113874,0
0,-32.982717,0
0,-24.39504,0
0,-28.038322,0
0,-42.614349,0
0,-32.52956,0
0,-18.154939,0
0,-27.817129,0
0,-24.165048,0
0,-39.740127,0
5.9222412,-40.690952,0
5.936832,-33.531101,0
0,-20.527242,0
2.6271544,-41.846115,0
0,-34.605901,0
0,-25.908468,0
1.1169441,-41.251216,0
0,-34.403181,0
0,-39.919876,0
0,-28.073965,0
0,-30.137166,0
0,-35.282619,0
0,-38.447162,0
11.82872,-43.870987,0
0,-26.634458,0
0,-25.441995,0
0,-42.78269,0
0,-30.478237,0
0,-21.973882,0
0,-28.898912,0
0,-34.527059,0
0,-32.497922,0
0,-34.656103,0
0,-32.832,0
0,-21.808355,0
0,-29.657115,0
3.5950532,-37.687196,0
0,-31.038774,0
0,-34.245658,0
0,-37.360288,0
0,-30.447874,0
0,-40.706586,0
32.061558,-30.615676,0
0,-22.004503,0
0,-36.445915,0
0,-37.679906,0
4.095675,-37.482145,0
0,-41.293554,0
0,-32.103738,0
4.1816511,-32.624917,0
0,-35.538557,0
0,-35.345661,0
0,-30.089185,0
0,-34.252876,0
0,-40.817857,0
0,-42.141962,0
0,-42.841272,0
0,-37.974182,0
0,-28.42691,0
0,-33.447643,0
0,-25.954431,0
0,-42.970893,0
0,-37.591152,0
34.352455,-43.161289,0
0,-27.44312,0
0,-37.073612,0
1.9624389,-39.144374,0
0,-33.471044,0
0,-28.32673,0
0,-40.880083,0
3.8939295,-33.379249,0
0,-40.810405,0
0,-38.664943,0
0,-27.589204,0
0,-35.507537,0
0,-35.69366,0
16.903313,-33.323001,0
0,-32.616542,0
0,-27.55068,0
10.705492,-21.691434,0
0,-30.642316,0
0,-30.878372,0
0,-32.638891,0
0,-29.858068,0
0,-30.08756,0
0,-34.76053,0
0,-40.172676,0
0,-34.405391,0
0,-31.322847,0
0,-41.125814,0
0,-37.705919,0
0,-41.641471,0
0,-26.718351,0
0,-42.174976,0
0,-36.27663,0
0,-38.782789,0
31.725889,-36.438488,0
0,-40.925764,0
2.4053495,-43.816577,0
0,-39.747215,0
5.5179372,-43.588458,0
0,-26.512887,0
43.699928,-39.975437,0
0,-27.676383,0
0,-36.194416,0
0,-41.246019,0
5.1114292,-40.914003,0
0,-41.234016,0
0,-35.831201,0
19.346102,-27.304908,0
0,-36.032571,0
0,-21.813875,0
0,-30.765968,0
0,-30.922859,0
0,-26.786527,0
2.5461814,-42.540082,0
0,0.263804,1
0,-5.68379,0
0,-25.466119,0
0,-20.230089,0
0,-11.959569,0
0,-1.297418,0
0,5.563014,1
6.0463147,-20.275075,0
0,-31.388547,0
0,-21.910715,0
0,-21.452497,0
0,15.3398,1
6.982265,-9.215547,0
0,-30.042001,0
0,-1.248983,0
0,-16.885477,0
0,-24.007093,0
3.9609711,-43.714484,0
22.614202,-21.04144,0
0,-19.684762,0
8.5719185,-5.186918,0
0,5.37138599999999,1
1.6654453,-20.309278,0
0,-24.608087,0
4.1327438,16.746241,1
0,8.156046,1
0,-9.682718,0
0,3.729949,1
3.8520305,-30.955636,0
0,1.851428,1
0,1.254561,1
7.2960749,-2.786054,0
1.8988664,-35.228105,0
0,-8.867208,0
8.8284626,1.170992,1
5.7967653,-37.551523,0
13.551971,-13.295698,0
0,-22.922643,0
0,-17.01201,0
0,-28.156667,0
3.8955979,-25.098443,0
0,-5.137155,0
0,-16.476182,0
0,-22.126989,0
12.9887,-11.414865,0
0,-26.261304,0
0,-4.531835,0
0,-25.663301,0
0,-6.479642,0
0,-25.642007,0
0,-19.82002,0
0,-14.764875,0
2.536912,-21.950998,0
0,13.120135,1
2.1899569,-39.808191,0
0,-21.313047,0
0,0.818854000000002,1
3.2601697,-43.247015,0
0,17.0479,1
0,13.316721,1
0,-19.068021,0
0,0.150092000000001,1
0,7.179133,1
0,10.547656,1
0,21.899615,1
0,2.854426,1
6.8653026,-7.239778,0
5.91471,-8.178586,0
0,-13.847436,0
4.9164209,-13.561975,0
29.308323,-22.183473,0
4.0698385,-31.749359,0
0,19.739001,1
11.42596,-16.506174,0
2.6114433,-13.837476,0
0,17.463305,1
5.9858732,-12.899858,0
0,-29.590393,0
0,10.926081,1
0,-22.541112,0
3.8550501,-29.674791,0
20.53388,3.623549,1
0,-22.286886,0
0,-1.031118,0
0,4.063628,1
0,-15.169919,0
0,5.094683,1
3.6411302,-14.77123,0
0,-20.272478,0
0,-12.748376,0
5.1690273,-8.861017,0
0,-31.675716,0
0,-19.735692,0
0,15.65301,1
0,-26.954027,0
0,2.258284,1
0,0.596304000000003,1
0,-0.402467000000001,0
0,-0.655358999999997,0
0,-4.714475,0
0,8.644511,1
7.2103252,-7.516546,0
0,5.364619,1
0,-25.403348,0
0,-26.687288,0
0,-12.598169,0
0,-21.545286,0
0,-22.52136,0
20.663292,-4.859201,0
0,-3.351995,0
17.385258,-24.924207,0
6.8380742,-20.184793,0
0,-19.337228,0
10.279605,-15.46919,0
0,12.79761,1
0,-16.545919,0
0,4.964114,1
0,17.583743,1
6.2648792,-28.887563,0
5.4301591,-6.980676,0
0,-11.060537,0
3.903734,-15.795026,0
8.491127,3.274107,1
0,0.480559,1
0,-10.349283,0
0,-0.491158999999996,0
2.5663729,-25.974172,0
3.4941669,-23.739782,0
1.3040529,-31.713861,0
0,1.577021,1
11.721955,-25.315061,0
0,6.489901,1
6.6666665,-6.360609,0
4.2611217,-7.899061,0
4.4361634,1.276831,1
2.514719,-32.839439,0
0,11.486277,1
0,2.095786,1
2.9964342,3.321261,1
0,4.38494,1
0,-1.328134,0
4.5813417,-21.923536,0
3.1816735,-5.161813,0
0,-13.732923,0
1.213124,-39.644948,0
0,-15.106409,0
1.4915578,-23.159414,0
1.2263919,-23.508153,0
6.9812903,-13.713399,0
0,-13.095087,0
0,-17.358766,0
5.8889346,6.221606,1
5.9340138,-6.463537,0
0,2.198065,1
2.4904895,-27.94979,0
4.6749363,-20.762617,0
0,-25.860746,0
0,3.243693,1
4.0930595,-16.43073,0
0,4.744135,1
4.6146746,1.764647,1
0,-3.614164,0
1.743588,-42.431079,0
2.6796002,-25.830072,0
0,5.19913,1
4.5909467,-7.15875,0
0,-11.086275,0
5.8616648,2.576621,1
0,1.677866,1
4.4304638,-21.207036,0
2.0152352,-16.251661,0
1.3254514,-5.550653,0
11.614402,7.502902,1
5.1193838,-24.800447,0
5.6417489,-6.790872,0
2.2053149,-15.322877,0
7.1488142,-4.398973,0
4.9653664,-15.801362,0
0,-19.827272,0
5.0655994,-13.515325,0
0,-0.693891000000001,0
0,5.891528,1
6.6089487,-3.375825,0
2.3199704,-39.944683,0
0,-22.209722,0
0.57644862,-42.173198,0
4.320961,-33.857339,0
0,-30.608016,0
1.0924187,-38.357238,0
0,-31.358922,0
0,-27.722698,0
2.4454062,-37.974681,0
3.5283012,-38.638719,0
0,-34.606721,0
0,-37.740766,0
0,-33.784603,0
0,-28.718872,0
0,-19.229024,0
2.5334628,-38.700788,0
0,-36.531225,0
2.1361327,-36.032222,0
3.2727869,-21.933858,0
5.214036,-24.902948,0
3.8420656,-39.737524,0
1.8130722,-37.001468,0
2.7142565,-30.011589,0
4.3773255,-19.787557,0
0,-35.731649,0
0,-15.778207,0
1.4828105,-41.164161,0
1.0045304,-42.953054,0
0,-26.510496,0
0,-22.465658,0
1.7048264,-25.793981,0
7.0190215,-14.974412,0
0,-27.252847,0
2.2518973,-36.481176,0
0,-31.937915,0
4.5226359,-19.03737,0
3.0868328,-41.488914,0
0.7640723,-42.54552,0
0,-34.849216,0
0,-43.498742,0
3.3918772,-41.92745,0
0,-29.854217,0
0,-30.823715,0
2.6446631,-42.170743,0
0,-41.635715,0
0,-25.800397,0
0,-29.672048,0
0,-27.640668,0
0,-41.940597,0
11.520738,-32.671924,0
2.7254641,-39.841516,0
6.7657471,-38.860944,0
0,-33.982,0
0,-26.637861,0
3.5450935,-36.401264,0
0,-27.770795,0
0,-42.257453,0
13.340448,-28.79006,0
2.8280542,-35.896739,0
0,-35.809499,0
0,-31.869443,0
12.380835,-35.17663,0
0,-33.34114,0
2.2900589,-39.129661,0
0,-39.317062,0
0,-37.607128,0
0,-29.962945,0
3.0469227,-28.343173,0
2.0932765,-39.315742,0
0,-33.642015,0
0,-37.664049,0
0,-36.897295,0
10.674637,-22.148378,0
0,-28.426074,0
0,-15.656175,0
0,-39.543989,0
0,-26.598489,0
0,-42.313341,0
1.1108519,-41.845836,0
0,-29.909973,0
11.730206,-29.930576,0
0,-39.954971,0
0,-39.078975,0
0,-40.159427,0
0,-30.271306,0
0,-30.241767,0
11.487651,-24.916006,0
0.75223035,-43.190168,0
0,-35.833808,0
0,-25.894128,0
2.073384,-43.986616,0
0,-33.103555,0
0,-34.68329,0
7.6728306,-23.034158,0
0,-33.777412,0
0,-29.299825,0
0,-28.857936,0
0,-32.168222,0
0,-34.058387,0
0,-32.414691,0
2.2295847,-43.128259,0
0,-39.163015,0
0,-41.97112,0
0,-34.991014,0
13.078734,-28.733646,0
0,-43.916742,0
3.5847433,-38.186471,0
1.6138924,-38.524309,0
1.9447379,-42.705051,0
0,-35.733152,0
0,-16.710878,0
0,-22.755918,0
3.859067,-20.150739,0
4.1690989,-29.36149,0
0,-13.164293,0
0,-35.450405,0
0,-31.800497,0
0,-43.814352,0
0,-38.632751,0
6.3047729,-17.222627,0
0,-27.50893,0
0,-38.187173,0
0,-43.602437,0
0,-19.648992,0
0,-43.105726,0
8.0405245,-28.500669,0
11.941725,-35.855272,0
0,-32.165056,0
0,-24.706308,0
0,-29.532821,0
0,-27.857286,0
3.2889328,-37.058879,0
0,-37.521064,0
0,-21.128435,0
0,-30.048233,0
0,-21.196432,0
0,-34.606946,0
0,-29.881132,0
0,-24.879739,0
0,-28.604948,0
0,-32.315587,0
0,-32.86589,0
0,-43.402781,0
0,-17.521387,0
0,-24.747747,0
0,-30.737857,0
0,-17.918416,0
9.4562645,-27.817499,0
0,-34.350538,0
0,-15.743482,0
0,-30.97146,0
0,-32.887559,0
0,-22.977094,0
0,-29.392047,0
0,-20.327783,0
0,-25.605653,0
0,-38.449569,0
0,-27.219049,0
0,-30.180782,0
0,-26.35824,0
0,-34.863401,0
6.0117831,-24.888776,0
0,-24.562482,0
0,-36.76826,0
0,-23.969774,0
0,-32.507358,0
11.785503,-24.818418,0
5.8230944,-26.349313,0
0,-36.67872,0
0,-34.95145,0
8.6415482,-24.995161,0
1.7011142,-41.24283,0
0,-36.747333,0
0,-38.401323,0
0,-28.692836,0
3.144819,-29.80113,0
0,-40.194446,0
0,-22.585897,0
0,-23.322713,0
4.4909506,-13.446031,0
0,-17.090436,0
0,-33.204259,0
